year,transaction_id,product_id,city_category,product_category1,product_quantity
2021,1,P00069042,A,3,1
2021,2,P00248942,A,14,7
2021,3,P00087842,A,4,4
2021,4,P00085442,A,12,12
2021,5,P00285442,C,3,5
2021,6,P00193542,A,3,3
2021,7,P00184942,B,1,3
2021,8,P00346142,B,2,4
2021,9,P0097242,B,8,14
2021,10,P00274942,A,15,12
2021,11,P00251242,A,6,2
2021,12,P00014542,A,17,8
2021,13,P00031342,A,17,2
2021,14,P00145042,A,18,0
2021,15,P00231342,A,9,12
2021,16,P00190242,A,11,13
2021,17,P0096642,A,12,2
2021,18,P00058442,A,13,14
2021,19,P00036842,B,6,7
2021,20,P00249542,C,10,6
2021,21,P00220442,C,4,11
2021,22,P00156442,C,18,7
2021,23,P00213742,C,14,4
2021,24,P00214442,C,7,12
2021,25,P00303442,C,7,4
2021,26,P00135742,C,5,0
2021,27,P00039942,C,15,2
2021,28,P00161442,C,12,11
2021,29,P00078742,C,8,6
2021,30,P00085942,B,6,11
2021,31,P00118742,B,6,7
2021,32,P00297942,B,17,3
2021,33,P00266842,B,18,11
2021,34,P00058342,B,18,14
2021,35,P00032442,B,3,10
2021,36,P00105942,B,17,8
2021,37,P00182642,B,17,11
2021,38,P00186942,B,4,3
2021,39,P00155442,B,4,11
2021,40,P00221342,B,15,1
2021,41,P00087242,B,1,3
2021,42,P00111142,B,12,11
2021,43,P00259342,B,9,4
2021,44,P0094542,B,11,1
2021,45,P00148642,B,15,10
2021,46,P00312142,B,12,2
2021,47,P00113242,B,7,9
2021,48,P00192642,C,10,12
2021,49,P00110842,C,12,2
2021,50,P00189642,C,9,4
2021,51,P00304242,C,12,2
2021,52,P00365242,C,13,10
2021,53,P00129542,C,18,1
2021,54,P00140742,C,3,7
2021,55,P00182342,C,14,0
2021,56,P00276642,C,4,9
2021,57,P00334242,A,12,3
2021,58,P00247542,A,4,3
2021,59,P00338442,A,7,4
2021,60,P00275142,A,8,0
2021,61,P00333042,A,8,2
2021,62,P00166242,A,13,9
2021,63,P00161942,A,5,12
2021,64,P00348242,A,15,4
2021,65,P00042142,A,9,14
2021,66,P00244242,C,15,12
2021,67,P00217742,C,16,4
2021,68,P00019342,C,16,13
2021,69,P00100642,C,11,9
2021,70,P00073842,C,14,5
2021,71,P00366542,B,3,2
2021,72,P00190742,B,6,7
2021,73,P00151842,B,2,1
2021,74,P00112642,B,18,1
2021,75,P00118442,B,7,1
2021,76,P00034442,B,1,5
2021,77,P00222242,B,17,4
2021,78,P00118342,B,18,7
2021,79,P00324742,B,10,7
2021,80,P00190042,B,16,2
2021,81,P0094142,B,9,3
2021,82,P00138542,B,17,9
2021,83,P00158542,B,7,6
2021,84,P00157542,B,10,5
2021,85,P00044142,B,1,6
2021,86,P00112542,A,2,0
2021,87,P00339542,A,18,0
2021,88,P00127842,A,18,1
2021,89,P00125942,A,16,5
2021,90,P00251342,A,15,6
2021,91,P00249642,A,18,2
2021,92,P00124842,A,5,8
2021,93,P00250642,A,5,5
2021,94,P00058142,A,9,1
2021,95,P00117442,A,6,6
2021,96,P00251642,A,15,11
2021,97,P00244842,A,14,9
2021,98,P00220242,B,5,13
2021,99,P00351142,A,9,10
2021,100,P00213242,A,1,9
2021,101,P00195942,A,17,3
2021,102,P00115642,A,15,0
2021,103,P0098242,A,14,10
2021,104,P00262242,A,7,4
2021,105,P00258742,A,5,4
2021,106,P00218242,A,6,8
2021,107,P00021742,A,14,13
2021,108,P00313042,A,17,12
2021,109,P00133742,A,15,8
2021,110,P00077042,A,1,2
2021,111,P00280542,A,9,1
2021,112,P00225842,A,13,1
2021,113,P00278942,B,14,3
2021,114,P00004742,B,1,11
2021,115,P00198042,B,12,2
2021,116,P00177442,B,8,7
2021,117,P00000642,B,8,14
2021,118,P00288942,B,10,6
2021,119,P00270942,B,13,5
2021,120,P00345842,B,12,6
2021,121,P00032042,B,13,0
2021,122,P00313042,B,17,14
2021,123,P00112342,B,12,8
2021,124,P00031842,B,16,1
2021,125,P00346642,A,2,9
2021,126,P00205642,A,12,0
2021,127,P00248942,A,14,4
2021,128,P00206442,C,1,4
2021,129,P00046742,C,16,8
2021,130,P00120042,C,15,13
2021,131,P00043242,B,4,12
2021,132,P00057242,B,12,8
2021,133,P00022842,B,8,2
2021,134,P00252042,B,3,5
2021,135,P00042242,B,7,1
2021,136,P00059542,B,16,7
2021,137,P00346642,B,2,0
2021,138,P00021242,B,13,12
2021,139,P00023042,B,11,1
2021,140,P00144242,B,4,0
2021,141,P00101342,B,11,10
2021,142,P00289342,B,4,8
2021,143,P00281742,C,9,11
2021,144,P00266642,C,5,2
2021,145,P00323742,C,7,7
2021,146,P00116342,C,10,12
2021,147,P00117142,C,16,13
2021,148,P00084442,C,10,12
