sales_year,city_category,product_id,product_name,total_quantity,total_amount_dollars
2021,A,P00166042,"Video Doorbell 84",9,47007
2021,A,P00086242,"Clarinet 80",7,131187
2021,A,P00083942,"Bracelet 2",7,9828
2021,A,P00367142,"Gaming Chair 4",14,20972
2021,A,P00316242,"Surfboard 106",8,14744
2021,A,P00102842,"Piano 1",11,45441
2021,A,P00149342,"Face Wash 99",6,4572
2021,A,P00243942,"Hamster Wheel 70",4,31004
2021,A,P00147342,"Aquarium Filter 66",8,102320
2021,A,P00120042,"Pet Nail Clipper 50",20,164760
2021,A,P00330242,"Bananas 76",7,24087
2021,A,P00161442,"Ring 1",11,57464
2021,A,P00362442,"Wedges 9",0,0
2021,A,P00250942,"Digestive Enzyme 103",8,25560
2021,A,P00202242,"Butter 102",10,140300
2021,A,P00370642,"Ballet Flats 12",9,53604
2021,A,P00238542,"Compost Bin 63",9,33246
2021,A,P00170542,"Toaster 77",2,7240
2021,A,P00297042,"VR Headset 68",13,53352
2021,A,P00294042,"Portable Hard Drive 34",6,36126
2021,A,P00295742,"Anklet 43",9,34965
2021,A,P00288042,"Scissors 8",13,52169
2021,A,P00088742,"Dining Table 1",8,43720
2021,A,P00364142,"VR Headset 104",6,46722
2021,A,P00247742,"Notebook 54",12,96000
2021,A,P00234842,"Wheelbarrow 47",19,38133
2021,A,P00092942,"Car Wax 76",5,30830
2021,A,P00322142,"Coffee Table 44",0,0
2021,A,P00080042,"Cookbook 73",1,3709
2021,A,P00113042,"Pasta 98",10,61280
2021,A,P00109742,"Hamster Wheel 16",10,78230
2021,A,P00248342,"Brake Pads 7",6,12954
2021,A,P00354142,"Apples 75",13,215098
2021,A,P00182542,"T-Shirt 18",8,41664
2021,A,P00089042,"Watering Can 43",14,7882
2021,A,P00251942,"Hand Sanitizer 94",12,136896
2021,A,P00362342,"Docking Station 88",5,8735
2021,A,P00234542,"Watch 4",3,20616
2021,A,P00259242,"Butter 84",3,15678
2021,A,P00184742,"Ankle Boots 52",5,22710
2021,A,P0096542,"Sunscreen 12",1,5780
2021,A,P00259942,"Oxfords 44",7,58450
2021,A,P00035542,"Jacket 20",13,107263
2021,A,P00035042,"Lawn Mower 75",13,89310
2021,A,P00026042,"Romance 44",0,0
2021,A,P00184542,"Drum Set 74",5,21160
2021,A,P00290042,"Running Shoes 42",8,78752
2021,A,P00231142,"Face Mask 47",0,0
2021,A,P00004242,"Hole Punch 31",7,80514
2021,A,P00236542,"Bluetooth Speaker 82",12,27072
2021,A,P00149142,"Plush Toy 60",10,15350
2021,A,P00021342,"Travel Guide 31",10,52380
2021,A,P00034242,"Webcam 64",12,65340
2021,A,P00208742,"Oboe 32",4,30672
2021,A,P00288642,"Bed 38",13,110838
2021,A,P00136742,"Bandages 78",18,81486
2021,A,P00286742,"Espadrilles 31",4,17284
2021,A,P00110042,"Oil Filter 1",2,10338
2021,A,P00034342,"Accordion 28",2,10392
2021,A,P00069042,"Refrigerator 19",11,88099
2021,A,P00248942,"Pencil Sharpener 69",18,205722
2021,A,P00087842,"Bed 20",4,5688
2021,A,P00085442,"Cufflinks 26",12,12684
2021,A,P00253042,"Board Game 38",12,73764
2021,A,P00193542,"Air Conditioner 42",15,118455
2021,A,P00145142,"File Folder 9",7,49651
2021,A,P00260042,"Underwear 33",12,64236
2021,A,P00054342,"Jeans 1",3,49632
2021,A,P00274942,"Aquarium Filter 84",12,49224
